Entity,Code,Year,trust doctors and nurses,disagree vaccines are safe,Continent
Eritrea and Ethiopia,OWID_ERE,2015,,,Africa
Estonia,EST,2018,87.78426688,13.48992364,
Estonia,EST,2015,,,Europe
Eswatini,SWZ,2018,84.50210799,10.09214205,
Eswatini,SWZ,2015,,,Africa
Ethiopia,ETH,2018,86.1448715,2.54309192,
Ethiopia,ETH,2015,,,Africa
Faeroe Islands,FRO,2015,,,Europe
Falkland Islands,FLK,2015,,,South America
Fiji,FJI,2015,,,Oceania
Finland,FIN,2018,96.75935668,7.991680632,
Finland,FIN,2015,,,Europe
France,FRA,2018,94.62188059,33.29384552,
France,FRA,2015,,,Europe
French Guiana,GUF,2015,,,South America
French Polynesia,PYF,2015,,,Oceania
French Southern Territories,ATF,2015,,,Antarctica
Gabon,GAB,2018,50.36380457,25.85800036,
Gabon,GAB,2015,,,Africa
Gambia,GMB,2018,82.52206113,4.782896295,
Gambia,GMB,2015,,,Africa
Georgia,GEO,2018,79.96180005,9.573974821,
Georgia,GEO,2015,,,Asia
Germany,DEU,2018,93.93580932,12.87886921,
Germany,DEU,2015,,,Europe
Ghana,GHA,2018,88.78278195,3.492985667,
Ghana,GHA,2015,,,Africa
Gibraltar,GIB,2015,,,Europe
Greece,GRC,2018,86.19768614,3.587050176,
Greece,GRC,2015,,,Europe
Greenland,GRL,2015,,,North America
Grenada,GRD,2015,,,North America
Guadeloupe,GLP,2015,,,North America
Guam,GUM,2015,,,Oceania
Guatemala,GTM,2018,69.37378708,7.285190797,
Guatemala,GTM,2015,,,North America
Guernsey,GGY,2015,,,Europe
Guinea,GIN,2018,68.23256114,14.05135618,
Guinea,GIN,2015,,,Africa
Guinea-Bissau,GNB,2015,,,Africa
Guyana,GUY,2015,,,South America
Haiti,HTI,2018,79.86723748,20.39307286,
Haiti,HTI,2015,,,North America
Hanover,OWID_HAN,2015,,,Europe
Heard Island and McDonald Islands,HMD,2015,,,Antarctica
Hesse Electoral,OWID_HSE,2015,,,Europe
Hesse Grand Ducal,OWID_HSG,2015,,,Europe
Honduras,HND,2018,77.43771085,5.889666745,
Honduras,HND,2015,,,North America
Hong Kong,HKG,2015,,,Asia
Hungary,HUN,2018,89.36062063,2.632851949,
Hungary,HUN,2015,,,Europe
Iceland,ISL,2018,96.5535127,21.26700693,
Iceland,ISL,2015,,,Europe
India,IND,2018,92.4980721,1.995294987,
India,IND,2015,,,Asia
Indonesia,IDN,2018,83.2150104,5.737725649,
Indonesia,IDN,2015,,,Asia
Iran,IRN,2018,86.72864331,9.154814714,
Iran,IRN,2015,,,Asia
Iraq,IRQ,2018,63.50024342,4.446227372,
Iraq,IRQ,2015,,,Asia
Ireland,IRL,2018,93.31656514,9.355552291,
Ireland,IRL,2015,,,Europe
Isle of Man,IMN,2015,,,Europe
Israel,ISR,2018,88.43351042,4.820923171,
Israel,ISR,2015,,,Asia
Italy,ITA,2018,90.44952484,13.71469477,
Italy,ITA,2015,,,Europe
Jamaica,JAM,2015,,,North America
Japan,JPN,2018,93.01156508,8.347281956,
Japan,JPN,2015,,,Asia
Jersey,JEY,2015,,,Europe
Jordan,JOR,2018,81.9377625,3.153373732,
Jordan,JOR,2015,,,Asia
Kazakhstan,KAZ,2018,79.80607136,10.3336845,
Kazakhstan,KAZ,2015,,,Asia
Kenya,KEN,2018,78.37997338,5.300983921,
Kenya,KEN,2015,,,Africa
Kiribati,KIR,2015,,,Oceania
Kosovo,OWID_KOS,2018,75.94708526,5.418528202,
Kosovo,OWID_KOS,2015,,,Europe
Kuwait,KWT,2018,74.08466941,4.097016132,
Kuwait,KWT,2015,,,Asia
Kyrgyzstan,KGZ,2018,83.42420932,8.841450211,
Kyrgyzstan,KGZ,2015,,,Asia
Laos,LAO,2018,81.4186853,1.856595172,
Laos,LAO,2015,,,Asia
Latvia,LVA,2018,83.11969232,17.0717777,
Latvia,LVA,2015,,,Europe
Lebanon,LBN,2018,82.8682476,3.348813152,
Lebanon,LBN,2015,,,Asia
Lesotho,LSO,2015,,,Africa
Liberia,LBR,2018,80.78118978,2.505175939,
Liberia,LBR,2015,,,Africa
Libya,LBY,2018,77.0304847,9.027480215,
Libya,LBY,2015,,,Africa
Liechtenstein,LIE,2015,,,Europe
Lithuania,LTU,2018,83.14638155,8.280441649,
Lithuania,LTU,2015,,,Europe
Luxembourg,LUX,2018,93.82644078,12.3730704,
Luxembourg,LUX,2015,,,Europe
Macao,MAC,2015,,,Asia
Madagascar,MDG,2018,65.8971383,10.40111937,
Madagascar,MDG,2015,,,Africa
Malawi,MWI,2018,76.68570595,3.840526239,
Malawi,MWI,2015,,,Africa
Malaysia,MYS,2018,94.66840442,2.804414366,
Malaysia,MYS,2015,,,Asia
Maldives,MDV,2015,,,Asia
Mali,MLI,2018,75.39862609,17.1458224,
Mali,MLI,2015,,,Africa
Malta,MLT,2018,95.90672851,6.252081044,
Malta,MLT,2015,,,Europe
Marshall Islands,MHL,2015,,,Oceania
Martinique,MTQ,2015,,,North America
Mauritania,MRT,2018,53.82855873,9.6241817,
Mauritania,MRT,2015,,,Africa
Mauritius,MUS,2018,64.50598784,17.02140053,
Mauritius,MUS,2015,,,Africa
Mayotte,MYT,2015,,,Africa
Mecklenburg Schwerin,OWID_MEC,2015,,,Europe
Mexico,MEX,2018,83.2666984,6.539340492,
Mexico,MEX,2015,,,North America
Micronesia (country),FSM,2015,,,Oceania
Middle East,,2018,81,6,
Modena,OWID_MOD,2015,,,Europe
Moldova,MDA,2018,73.61599912,10.74900774,
Moldova,MDA,2015,,,Europe
Monaco,MCO,2015,,,Europe
Mongolia,MNG,2018,80.96656999,15.97529209,
Mongolia,MNG,2015,,,Asia
Montenegro,MNE,2018,68.61190032,13.43791788,
Montenegro,MNE,2015,,,Europe
Montserrat,MSR,2015,,,North America
Morocco,MAR,2018,67.4051339,3.873115668,
Morocco,MAR,2015,,,Africa
Mozambique,MOZ,2018,73.98393328,4.376628804,
Mozambique,MOZ,2015,,,Africa
Myanmar,MMR,2018,91.52062327,4.199570654,
Myanmar,MMR,2015,,,Asia
Nagorno-Karabakh,OWID_NAG,2015,,,Asia
Namibia,NAM,2018,73.43423741,11.16687438,
Namibia,NAM,2015,,,Africa
Nauru,NRU,2015,,,Oceania
Nepal,NPL,2018,89.59331565,3.303721329,
Nepal,NPL,2015,,,Asia
Netherlands,NLD,2018,91.88775391,16.95792187,
Netherlands,NLD,2015,,,Europe
Netherlands Antilles,ANT,2015,,,North America
New Caledonia,NCL,2015,,,Oceania
New Zealand,NZL,2018,95.2239499,9.809272194,
New Zealand,NZL,2015,,,Oceania
Nicaragua,NIC,2018,69.81148561,2.770323364,
Nicaragua,NIC,2015,,,North America
Niger,NER,2018,75.79805787,7.241705941,
Niger,NER,2015,,,Africa
Nigeria,NGA,2018,82.00328088,4.9520462,
Nigeria,NGA,2015,,,Africa
Niue,NIU,2015,,,Oceania
Norfolk Island,NFK,2015,,,Oceania
North Africa,,2018,80,4,
North Korea,PRK,2015,,,Asia
North Macedonia,MKD,2018,72.77724361,13.51227687,
North Macedonia,MKD,2015,,,Europe
Northern America,,2018,94,11,
Northern Cyprus,OWID_CYN,2018,78.29264752,4.080252763,
Northern Cyprus,OWID_CYN,2015,,,Asia
Northern Europe,,2018,93,10,
Northern Mariana Islands,MNP,2015,,,Oceania
Norway,NOR,2018,98.19908716,5.672668284,
Norway,NOR,2015,,,Europe
Oman,OMN,2015,,,Asia
Pakistan,PAK,2018,85.3721404,4.48254764,
Pakistan,PAK,2015,,,Asia
Palau,PLW,2015,,,Oceania
Palestine,PSE,2018,74.57781228,2.984742974,
Palestine,PSE,2015,,,Asia
Panama,PAN,2018,73.17278457,5.074907607,
Panama,PAN,2015,,,North America
Papua New Guinea,PNG,2015,,,Oceania
Paraguay,PRY,2018,74.58323534,7.960701128,
Paraguay,PRY,2015,,,South America
Parma,OWID_PMA,2015,,,Europe
Peru,PER,2018,69.05376139,17.46744447,
Peru,PER,2015,,,South America
Philippines,PHL,2018,86.83632338,13.90519241,
Philippines,PHL,2015,,,Asia
Pitcairn,PCN,2015,,,Oceania
Poland,POL,2018,88.54560585,5.265834808,
Poland,POL,2015,,,Europe
Portugal,PRT,2018,88.59748158,5.142860342,
Portugal,PRT,2015,,,Europe
Puerto Rico,PRI,2015,,,North America
Qatar,QAT,2015,,,Asia
Republic of Vietnam,OWID_RVN,2015,,,Asia
Reunion,REU,2015,,,Africa
Romania,ROU,2018,71.46128208,12.88616864,
Romania,ROU,2015,,,Europe
Russia,RUS,2018,71.9198474,23.61144764,
Russia,RUS,2015,,,Europe
Rwanda,RWA,2018,93.94594085,1.638061847,
Rwanda,RWA,2015,,,Africa
Saint Barthélemy,BLM,2015,,,North America
Saint Helena,SHN,2015,,,Africa
Saint Kitts and Nevis,KNA,2015,,,North America
Saint Lucia,LCA,2015,,,North America
Saint Martin (French part),MAF,2015,,,North America
Saint Pierre and Miquelon,SPM,2015,,,North America
Saint Vincent and the Grenadines,VCT,2015,,,North America
Samoa,WSM,2015,,,Oceania
San Marino,SMR,2015,,,Europe
Sao Tome and Principe,STP,2015,,,Africa
Saudi Arabia,SAU,2018,83.9904799,2.732971172,
Saudi Arabia,SAU,2015,,,Asia
Saxony,OWID_SAX,2015,,,Europe
Senegal,SEN,2018,81.37772396,14.74161457,
Senegal,SEN,2015,,,Africa
Serbia,SRB,2018,80.90404643,9.233046412,
Serbia,SRB,2015,,,Europe
Serbia and Montenegro,OWID_SRM,2015,,,Europe
Serbia excluding Kosovo,OWID_SEK,2015,,,Europe
Seychelles,SYC,2015,,,Africa
Sierra Leone,SLE,2018,71.72315854,3.92525476,
Sierra Leone,SLE,2015,,,Africa
Singapore,SGP,2018,94.70833494,3.045648006,
Singapore,SGP,2015,,,Asia
Sint Maarten (Dutch part),SXM,2015,,,North America
Slovakia,SVK,2018,86.78204062,6.388160352,
Slovakia,SVK,2015,,,Europe
Slovenia,SVN,2018,92.20188573,12.28595453,
Slovenia,SVN,2015,,,Europe
Solomon Islands,SLB,2015,,,Oceania
Somalia,SOM,2015,,,Africa
Somaliland,OWID_SML,2015,,,Africa
South Africa,ZAF,2018,76.62537872,8.989362561,
South Africa,ZAF,2015,,,Africa
South America,,2018,74,9,
South Asia,,2018,91,2,
South Georgia and the South Sandwich Islands,SGS,2015,,,South America
South Korea,KOR,2018,86.97409807,7.88782279,
South Korea,KOR,2015,,,Asia
South Ossetia,OWID_SOS,2015,,,Asia
South Sudan,SSD,2015,,,Africa
Southeast Asia,,2018,87,7,
Southern Africa,,2018,77,9,
Southern Europe,,2018,90,10,
Spain,ESP,2018,97.08922226,7.039002198,
Spain,ESP,2015,,,Europe
Sri Lanka,LKA,2018,92.52108552,7.046222648,
Sri Lanka,LKA,2015,,,Asia
Sudan,SDN,2015,,,Africa
Suriname,SUR,2015,,,South America
Svalbard and Jan Mayen,SJM,2015,,,Europe
Sweden,SWE,2018,95.91901719,12.27445226,
Sweden,SWE,2015,,,Europe
Switzerland,CHE,2018,94.91527533,21.54384886,
Switzerland,CHE,2015,,,Europe
Syria,SYR,2015,,,Asia
Taiwan,TWN,2018,92.83618368,17.03331984,
Taiwan,TWN,2015,,,Asia
Tajikistan,TJK,2018,94.31650578,0.892688266,
Tajikistan,TJK,2015,,,Asia
Tanzania,TZA,2018,88.91271245,2.29331399,
Tanzania,TZA,2015,,,Africa
Thailand,THA,2018,96.85158348,3.004244503,
Thailand,THA,2015,,,Asia
Timor,TLS,2015,,,Asia
Togo,TGO,2018,53.95673382,25.01030975,
Togo,TGO,2015,,,Africa
Tokelau,TKL,2015,,,Oceania
Tonga,TON,2015,,,Oceania
Transnistria,OWID_TRS,2015,,,Europe
Trinidad and Tobago,TTO,2015,,,North America
Tunisia,TUN,2018,82.73050317,5.060910814,
Tunisia,TUN,2015,,,Africa
Turkey,TUR,2018,84.57229963,5.890945262,
Turkey,TUR,2015,,,Asia
Turkmenistan,TKM,2018,92.46494521,4.851585638,
Turkmenistan,TKM,2015,,,Asia
Turks and Caicos Islands,TCA,2015,,,North America
Tuscany,OWID_TUS,2015,,,Europe
Tuvalu,TUV,2015,,,Oceania
Two Sicilies,OWID_SIC,2015,,,Europe
USSR,OWID_USS,2015,,,Europe
Uganda,UGA,2018,79.61740512,8.528302665,
Uganda,UGA,2015,,,Africa
Ukraine,UKR,2018,69.82589055,15.26527319,
Ukraine,UKR,2015,,,Europe
United Arab Emirates,ARE,2018,77.08563657,4.379337596,
United Arab Emirates,ARE,2015,,,Asia
United Kingdom,GBR,2018,92.76632294,8.731762141,
United Kingdom,GBR,2015,,,Europe
United Korea,OWID_KRU,2015,,,Asia
United States,USA,2018,93.41232021,11.08898779,
United States,USA,2015,,,North America
United States Minor Outlying Islands,UMI,2015,,,Oceania
United States Virgin Islands,VIR,2015,,,North America
Uruguay,URY,2018,88.86733454,10.75892578,
Uruguay,URY,2015,,,South America
Uzbekistan,UZB,2018,94.74364512,3.322893256,
Uzbekistan,UZB,2015,,,Asia
Vanuatu,VUT,2015,,,Oceania
Vatican,VAT,2015,,,Europe
Venezuela,VEN,2018,72.3079164,4.056766995,
Venezuela,VEN,2015,,,South America
Vietnam,VNM,2018,83.09534503,8.115222817,
Vietnam,VNM,2015,,,Asia
Wallis and Futuna,WLF,2015,,,Oceania
West Germany,OWID_GFR,2015,,,Europe
Western Africa,,2018,77,8,
Western Europe,,2018,94,22,
Western Sahara,ESH,2015,,,Africa
World,OWID_WRL,2018,84,7,
Wuerttemburg,OWID_WRT,2015,,,Europe
Yemen,YEM,2018,66.58697659,3.062775585,
Yemen,YEM,2015,,,Asia
Yemen Arab Republic,OWID_YAR,2015,,,Asia
Yemen People's Republic,OWID_YPR,2015,,,Asia
Yugoslavia,OWID_YGS,2015,,,Europe
Zambia,ZMB,2018,82.52105957,10.27586541,
Zambia,ZMB,2015,,,Africa
Zanzibar,OWID_ZAN,2015,,,Africa
Zimbabwe,ZWE,2018,81.0441196,3.765832379,
Zimbabwe,ZWE,2015,,,Africa
Åland Islands,ALA,2015,,,Europe
